Client_ID,Estimated_Income,Bank_Loans,Business_Lending,Credit_Card_Balance,Saving_Accounts,Checking_Accounts,Foreign_Currency_Account,Joined_Bank,Engagement Days,Income Band,Total_Loan,Processing_Fee,Nationality,Gender
IND81288,75384.77,776242.92,1134475.3,484.54,607332.46,603617.88,12249.96,5/6/2019,10/6/1906,Low,1911202.76,57336.0828,American,Male
IND65833,289834.31,1270615.43,2000526.1,2256.88,344635.16,229521.37,61162.31,12/10/2001,3/1/1924,Mid,3273398.41,98201.9523,African,Male
IND47499,169935.23,1052715.84,548137.58,4568.74,203054.35,652674.69,79071.78,1/25/2010,1/15/1916,Mid,1605422.16,48162.6648,European,Female
IND72498,356808.11,121195.06,1148402.29,4205,234685.02,1048157.49,57513.65,3/28/2019,11/14/1906,High,1273802.35,38214.0705,American,Male
IND60181,130711.68,1048301.95,1674412.12,3779.49,128351.45,446644.25,30012.14,7/20/2012,7/22/1913,Mid,2726493.56,81794.8068,American,Female
IND78532,118326.96,601902.5,1556031.06,5148.56,238310.37,745627.74,15615.18,2/7/2019,1/2/1907,Mid,2163082.12,64892.4636,American,Male
IND95683,57336.47,208909.69,154111.62,959.9,24639.33,60588.5,3045.78,6/2/2002,9/9/1923,Low,363981.21,10919.4363,Asian,Female
IND40785,65125.8,1140704.8,1171456.68,4576.58,46813.78,53889.73,51979.19,11/3/2000,4/7/1925,Low,2316738.06,69502.1418,European,Female
IND13570,87849.47,803444.46,464560.28,78.62,279528.12,328334.62,27125.28,4/7/2015,11/4/1910,Low,1268083.36,38042.5008,Asian,Female
IND53299,65369.36,60027.9,908583.94,4836.86,115869.39,111532.03,48043.52,11/20/1995,3/22/1930,Low,973448.7,29203.461,European,Male
IND76263,74966.51,214327.82,353119.93,493.32,52204.92,19335.16,10539.79,10/18/2014,4/24/1911,Low,567941.07,17038.2321,European,Male
IND56452,111449.06,580468.51,294397.85,392.59,513425.24,204991.65,22904.91,9/12/2005,5/29/1920,Mid,875258.95,26257.7685,American,Female
IND28766,115637.19,815250.64,972455.46,5055.31,138738.22,208277.35,6336.65,3/17/2018,11/25/1907,Mid,1792761.41,53782.8423,African,Female
IND17897,124434.78,984792.5,835554.83,5211.37,174051.32,263714.11,68855.49,1/2/1996,2/7/1930,Mid,1825558.7,54766.761,American,Female
IND86325,260795.34,310876.62,1136169.3,2866.34,67077.02,69072.45,48101.13,6/5/2020,9/5/1905,Mid,1449912.26,43497.3678,Asian,Male
IND74197,78892.52,1510860.64,2283081.57,4882.13,71284.16,134344.78,20708.55,1/6/2021,2/2/1905,Low,3798824.34,113964.7302,European,Male
IND28503,257120.22,436988.44,1128082.14,8614.06,253337.83,1273391.23,80698.26,6/22/2014,8/20/1911,Mid,1573684.64,47210.5392,Asian,Female
IND56539,145704.55,384153.37,199617.82,1895.06,64095.37,25590.9,10492.37,1/19/2020,1/21/1906,Mid,585666.25,17569.9875,Asian,Female
IND53604,34404.16,1102836.16,1115542.44,5384.7,35877.82,89694.56,22452.06,3/31/2019,11/11/1906,Low,2223763.3,66712.899,American,Female
IND32064,129060.88,1000409.32,1631986.9,395.58,396819.54,472404.21,37271.05,3/9/2009,12/2/1916,Mid,2632791.8,78983.754,Australian,Female
IND72934,129981.31,373846.69,441603.53,2383.86,25028.43,11024.17,24422.1,4/3/2020,11/7/1905,Mid,817834.08,24535.0224,American,Male
